New_ID,STUDID,Course Selected,Nationality,School,Demographic Data,Age,Modes of Learning,Session,Difficulty Level,Course Recommended,Course Rating,field of interest
1855,634,Young Honcho,Iraq,Diyafah International School Abu Dhabi,Male,9,offline,96,4,Game Development,4,ARTIFICIAL INTELLIGENCE
1856,635,HTML Programming,Bosnia and Herzegovina,Delhi Private School,Male,9,offline,48,3,AI,4,ROBOTICS
1857,635,Artificial Intelligence,Bosnia and Herzegovina,Diyafah International School Abu Dhabi,Male,9,offline,24,2,Python,2,ROBOTICS
1858,636,Design Thinking and Entrepreneur Program,Venezuela,Delhi Private School,Male,8,online,48,3,Technology Innovative Learning,4,UNIQUE COURSES
1859,636,Young App Developer,Venezuela,Diyafah International School Abu Dhabi,Male,9,online,24,2,3D Designing,4,UNIQUE COURSES
1860,636,STEM Jr,Uruguay,Sacred heart school,Female,6,hybrid,48,3,Graphics Designing,3,UNIQUE COURSES
1861,637,French Language Course,Uruguay,Diyafah International School Abu Dhabi,Female,9,online,24,2,Coding for kids,5,ARTIFICIAL INTELLIGENCE
1862,637,Drone Technology & Aerodynamics,Korea,DPS,Female,6,hybrid,24,2,Graphics Designing,3,ARTIFICIAL INTELLIGENCE
1863,637,3D Designing & Modelling,Korea,Diyafah International School Abu Dhabi,Female,8,offline,48,3,3D Designing,5,ARTIFICIAL INTELLIGENCE
1864,637,STEM Jr,China,The Winchester School,Male,6,offline,24,2,Python,5,ARTIFICIAL INTELLIGENCE
1865,637,LEGO Robotics,China,Diyafah International School Abu Dhabi,Male,8,offline,48,3,Python,3,ARTIFICIAL INTELLIGENCE
1866,638,Python Programming,Srilanka,DPS dubai,Female,6,hybrid,24,2,Python,5,ELECTRONICS
1867,639,Programming & Coding - Python/JAVA/HTML/C/C++,Srilanka,Diyafah International School Abu Dhabi,Female,9,offline,24,2,Robotics Innovative Learning,5,ELECTRONICS
1868,639,Game Development - Microsoft Arcade,United Kingdom,Delhi Private School,Male,13,hybrid,8,1,Python,4,ELECTRONICS
1869,639,Virtual Robotics & Mechatronics,United Kingdom,Diyafah International School Abu Dhabi,Male,9,offline,24,2,Coding for kids,4,ELECTRONICS
1870,639,Young Designer,Kuwait,GEMS Winchester School,Male,8,online,48,3,AI,4,ELECTRONICS
1871,640,Web Development,Kuwait,Diyafah International School Abu Dhabi,Male,9,offline,8,1,Technology Innovative Learning,4,CODING
1872,641,Young Innovator,Uruguay,Diyafah International School Abu Dhabi,Female,6,online,24,2,Graphics Designing,3,ARTIFICIAL INTELLIGENCE
1873,642,3D Designing and PrintingApp Design and Development,Uruguay,Diyafah International School Abu Dhabi,Female,9,hybrid,48,3,AI,5,CODING
1874,643,Design Thinking and Entrepreneur Program,Turkey,GEMS International School- Al Khail,Female,10,online,96,4,App Development,4,STEM
1875,643,Space STEM,Turkey,Diyafah International School Abu Dhabi,Female,9,offline,8,1,Technology Innovative Learning,4,STEM
1876,643,3D Designing and PrintingApp Design and Development,Cuba,GEMS Modern Academy,Female,9,hybrid,24,2,3D Designing,2,STEM
1877,643,Artificial Intelligence,Cuba,Diyafah International School Abu Dhabi,Female,9,hybrid,48,3,AI,3,STEM
1878,644,Young Product Designer,United Kingdom,Diyafah International School Abu Dhabi,Male,7,offline,24,2,Technology Innovative Learning,5,STEM
1879,644,Coding For KidsCoding for kids,United Kingdom,Diyafah International School Abu Dhabi,Male,9,hybrid,48,3,Graphics Designing,3,STEM
1880,645,French Language Course,Bosnia and Herzegovina,philippine School,Male,13,hybrid,24,2,Coding for kids,5,GAME DEVELOPMENT
1881,645,Virtual Robotics & Mechatronics,Bosnia and Herzegovina,Diyafah International School Abu Dhabi,Male,9,online,48,3,Graphics Designing,2,GAME DEVELOPMENT
1882,645,Young Product Designer,Cuba,GEMS Modern Academy,Male,10,offline,8,1,3D Designing,5,GAME DEVELOPMENT
1883,645,Drone Technology,Cuba,Diyafah International School Abu Dhabi,Male,9,hybrid,8,1,App Development,4,GAME DEVELOPMENT
1884,646,VEX Robotics,Taiwan,Diyafah International School Abu Dhabi,Female,12,online,96,4,Technology Innovative Learning,4,DESIGNING AND ANIMATION
1885,646,Web Development,Taiwan,Diyafah International School Abu Dhabi,Female,9,online,48,3,Robotics Innovative Learning,4,DESIGNING AND ANIMATION
1886,646,Data Analysis with PythonData Science,Bosnia and Herzegovina,GEMS Modern Academy,Male,10,online,24,2,Graphics Designing,5,DESIGNING AND ANIMATION
1887,646,Scratch Coding,Bosnia and Herzegovina,Diyafah International School Abu Dhabi,Male,9,online,48,3,3D Designing,3,DESIGNING AND ANIMATION
1888,646,STEM Sr,Srilanka,Al Diyafah High School,Female,8,offline,8,1,Robotics Innovative Learning,3,DESIGNING AND ANIMATION
1889,647,STEM Jr,Srilanka,Diyafah International School Abu Dhabi,Female,9,offline,48,3,Python,2,DESIGNING AND ANIMATION
1890,647,Python Programming,Russia,Al Arqm Private School,Male,9,offline,8,1,AI,2,DESIGNING AND ANIMATION
1891,647,HTML Programming,Russia,Diyafah International School Abu Dhabi,Male,9,online,48,3,Robotics Innovative Learning,2,DESIGNING AND ANIMATION
1892,647,Virtual Robotics,Switzerland,other,Male,12,hybrid,48,3,Coding for kids,4,DESIGNING AND ANIMATION
1893,648,Artificial Intelligence for Non Programmers,Switzerland,Diyafah International School Abu Dhabi,Male,9,online,24,2,Python,5,ELECTRONICS
1894,648,Virtual Robotics,Syria,Regent International Private School,Female,12,hybrid,48,3,Coding for kids,4,ELECTRONICS
1895,648,Artificial Intelligence,Syria,Al Diyafah High School,Female,9,hybrid,24,2,Robotics Innovative Learning,3,ELECTRONICS
1896,648,French Language Course,United States,GEMOOSH,Male,12,offline,48,3,Technology Innovative Learning,2,ELECTRONICS
1897,648,App Development,United States,"Indian School Muscat, Oman",Male,8,offline,48,3,AI,4,ELECTRONICS
1898,649,Data Analysis with PythonData Science,Oman,JSS,Female,12,offline,24,2,Game Development,2,STEM
1899,649,Young Data Scientist,Oman,Diyafah International School Abu Dhabi,Female,9,offline,24,2,Python,3,STEM
1900,649,Arduino,Pakistan,The Millenium School,Female,12,hybrid,96,4,Game Development,2,STEM
1901,649,Robotics,Pakistan,Diyafah International School Abu Dhabi,Female,9,hybrid,24,2,Technology Innovative Learning,5,STEM
1902,649,JAVA,Palestine,Sacred heart school,Male,12,offline,48,3,Robotics Innovative Learning,4,STEM
1903,650,Electronics for Kids,Palestine,Diyafah International School Abu Dhabi,Male,10,offline,48,3,Game Development,4,UNIQUE COURSES
1904,650,Young Web Developer,Srilanka,Arab Unity School,Female,12,hybrid,24,2,Technology Innovative Learning,5,UNIQUE COURSES
1905,650,Space STEM,Srilanka,Diyafah International School Abu Dhabi,Female,10,online,8,1,3D Designing,2,UNIQUE COURSES
1906,650,Robotics,Cook Islands,GEMS Modern Academy,Female,9,online,24,2,AI,2,UNIQUE COURSES
1907,650,Programming & Coding - Python/JAVA/HTML/C/C++,Cook Islands,Cambridge International School,Female,12,hybrid,48,3,Graphics Designing,2,UNIQUE COURSES
1908,651,Virtual Robotics & Mechatronics,Syria,GEMS United School,Female,9,online,8,1,App Development,4,ROBOTICS
1909,651,Artificial Intelligence & Machine Learning,Syria,Diyafah International School Abu Dhabi,Female,10,online,24,2,Game Development,2,ROBOTICS
1910,651,Young Product Designer,Palestine,Ambersrdm,Female,9,offline,24,2,App Development,5,ROBOTICS
1911,651,C++ Programming,Palestine,Diyafah International School Abu Dhabi,Female,10,offline,96,4,3D Designing,5,ROBOTICS
1912,652,Young Entrepreneur,Malaysia,"GEMS Cambridge School, Sharjah",Male,9,online,24,2,AI,3,ELECTRONICS
1913,653,VEX Robotics,Malaysia,Diyafah International School Abu Dhabi,Male,10,online,24,2,Technology Innovative Learning,3,DESIGNING AND ANIMATION
1914,654,Design Thinking and Entrepreneur Program,Cook Islands,GEMOOSH,Female,9,offline,48,3,Python,3,UNIQUE COURSES
1915,654,Game and App Development,Cook Islands,Diyafah International School Abu Dhabi,Female,10,offline,96,4,Robotics Innovative Learning,2,UNIQUE COURSES
1916,654,Virtual Robotics,Malaysia,Apple International School,Female,8,online,24,2,AI,4,UNIQUE COURSES
1917,655,Web Development,Malaysia,Diyafah International School Abu Dhabi,Female,10,hybrid,24,2,Graphics Designing,4,GAME DEVELOPMENT
1918,655,Artificial Intelligence & Machine Learning,Bahrain,The Sultan School,Male,10,offline,24,2,Coding for kids,2,GAME DEVELOPMENT
1919,655,3D Designing & Modelling,Bahrain,Diyafah International School Abu Dhabi,Male,10,online,48,3,3D Designing,2,GAME DEVELOPMENT
1920,655,Scratch Coding,Venezuela,Raffles World Academy,Male,9,online,96,4,App Development,3,GAME DEVELOPMENT
1921,656,App Development,Venezuela,Diyafah International School Abu Dhabi,Male,10,offline,48,3,3D Designing,3,ELECTRONICS
1922,656,C++ Programming,China,Victory Heights Primary School,Female,9,hybrid,24,2,AI,2,ELECTRONICS
1923,656,Young Product Designer,China,Diyafah International School Abu Dhabi,Female,9,online,24,2,App Development,3,ELECTRONICS
1924,657,Tech Innovator,Singapore,Pakistan Educational Academy,Male,7,online,48,3,Python,3,CODING
1925,657,Artificial Intelligence,Singapore,Diyafah International School Abu Dhabi,Male,10,offline,48,3,3D Designing,3,CODING
1926,657,Arduino,Afghanistan,Al Adab Iranian Private School for Girls,Female,8,online,96,4,Game Development,3,CODING
1927,658,Young App Developer,Afghanistan,Diyafah International School Abu Dhabi,Female,10,online,24,2,AI,2,ROBOTICS
1928,658,Data Analysis with PythonData Science,UAE,Pakistan Educational Academy,Male,12,hybrid,48,3,AI,4,ROBOTICS
1929,658,3D Designing and PrintingApp Design and Development,UAE,Diyafah International School Abu Dhabi,Male,10,offline,48,3,Coding for kids,4,ROBOTICS
1930,659,Data Analysis with PythonData Science,Russia,Avah Unity,Female,6,hybrid,48,3,Coding for kids,4,GAME DEVELOPMENT
1931,659,Programming & Coding - Python/JAVA/HTML/C/C++,Russia,Diyafah International School Abu Dhabi,Female,10,online,48,3,Robotics Innovative Learning,2,GAME DEVELOPMENT
1932,660,Young Data Scientist,Pakistan,Avah Unity,Female,6,hybrid,24,2,App Development,4,ARTIFICIAL INTELLIGENCE
1933,661,Scratch Coding,Pakistan,Diyafah International School Abu Dhabi,Female,10,online,96,4,AI,4,UNIQUE COURSES
1934,661,Space STEM,Syria,GEMS Royal Dubai School,Male,9,offline,48,3,Coding for kids,4,UNIQUE COURSES
1935,661,Graphic Designing,Syria,Diyafah International School Abu Dhabi,Male,10,offline,48,3,Coding for kids,4,UNIQUE COURSES
1936,661,Programming & Coding - Python/JAVA/HTML/C/C++,Palestine,Raffles World Academy,Male,11,online,24,2,App Development,2,UNIQUE COURSES
1937,661,Data Analysis with PythonData Science,Palestine,Diyafah International School Abu Dhabi,Male,10,online,48,3,3D Designing,3,UNIQUE COURSES
1938,662,Young Coder,Qatar,SJKT ALOR GAJAH,Female,6,offline,96,4,Python,3,DESIGNING AND ANIMATION
1939,662,Young Entrepreneur,Qatar,Diyafah International School Abu Dhabi,Female,10,hybrid,48,3,AI,5,DESIGNING AND ANIMATION
1940,662,C++ Programming,Venezuela,Al Manar International school,Male,9,offline,48,3,Coding for kids,4,DESIGNING AND ANIMATION
1941,662,Game Development - Block-Based,Venezuela,Diyafah International School Abu Dhabi,Male,10,hybrid,8,1,Python,3,DESIGNING AND ANIMATION
1942,662,Drone Technology,United Arab Emirates,ISGi,Male,7,offline,24,2,3D Designing,2,DESIGNING AND ANIMATION
1943,663,Microsoft Arcade,United Arab Emirates,Diyafah International School Abu Dhabi,Male,10,offline,24,2,Python,5,STEM
1944,663,Artificial Intelligence of Things (AIoT)Augmented & Virtual Reality,United States,The Winchester School,Female,9,offline,8,1,AI,4,STEM
1945,663,Web Development,United States,Diyafah International School Abu Dhabi,Female,10,online,24,2,Robotics Innovative Learning,4,STEM
1946,664,Scratch Coding,Bahrain,St marys icse,Male,11,hybrid,24,2,Game Development,5,CODING
1947,664,Young Product Designer,Bahrain,Diyafah International School Abu Dhabi,Male,10,online,48,3,AI,2,CODING
1948,665,Electronics for Kids,Poland,Li Englisto,Male,7,hybrid,48,3,Graphics Designing,5,CODING
1949,665,Game Development - Block-Based,Poland,Diyafah International School Abu Dhabi,Male,10,hybrid,8,1,Game Development,3,CODING
1950,665,Game and App Development,Uruguay,AL mawakeb school,Female,9,online,48,3,Graphics Designing,5,CODING
1951,666,Drone Technology,Uruguay,Diyafah International School Abu Dhabi,Female,10,online,48,3,3D Designing,2,UNIQUE COURSES
1952,666,Young Product Designer,Oman,Al Diyafah High School,Female,10,offline,96,4,Robotics Innovative Learning,4,UNIQUE COURSES
1953,666,C++ Programming,Oman,Diyafah International School Abu Dhabi,Female,10,online,48,3,Python,4,UNIQUE COURSES
1954,666,3D Designing & Modelling,Switzerland,"Global Indian Inter. School, DXB",Male,8,offline,48,3,Game Development,4,UNIQUE COURSES
1955,667,LEGO Robotics,Switzerland,Diyafah International School Abu Dhabi,Male,12,online,48,3,AI,4,CODING
1956,667,Internet of Things,Ireland,GEMS Wellington Academy,Male,10,online,48,3,App Development,4,CODING
1957,668,Young Product Designer,Ireland,Diyafah International School Abu Dhabi,Male,12,online,96,4,Technology Innovative Learning,2,ELECTRONICS
1958,668,Public Speaking & Entrepreneurship,Russia,Al Rowad international,Male,6,offline,24,2,Game Development,2,ELECTRONICS
1959,668,Game Development - Block-Based,Russia,Diyafah International School Abu Dhabi,Male,12,offline,48,3,Technology Innovative Learning,2,ELECTRONICS
1960,669,Microsoft Arcade,China,Ambersrdm,Female,8,online,24,2,Technology Innovative Learning,4,UNIQUE COURSES
1961,669,Game Development with Unity,China,Diyafah International School Abu Dhabi,Female,12,hybrid,24,2,Graphics Designing,3,UNIQUE COURSES
1962,669,Arduino,Oman,Al Mawakeb School - Al Garhoud,Female,10,hybrid,24,2,Technology Innovative Learning,3,UNIQUE COURSES
1963,669,Artificial Intelligence for Non Programmers,Oman,Diyafah International School Abu Dhabi,Female,8,online,8,1,Game Development,3,UNIQUE COURSES
1964,669,STEM Jr,Poland,Indian learners own academy,Female,8,hybrid,96,4,Robotics Innovative Learning,4,UNIQUE COURSES
1965,670,Young App Developer,Poland,Diyafah International School Abu Dhabi,Female,8,online,48,3,Game Development,5,DESIGNING AND ANIMATION
1966,670,STEM Sr,Syria,Edyscan Spl kid,Male,9,hybrid,48,3,Coding for kids,4,DESIGNING AND ANIMATION
1967,670,Space STEM,Syria,Diyafah International School Abu Dhabi,Male,8,hybrid,48,3,Robotics Innovative Learning,4,DESIGNING AND ANIMATION
1968,670,Technology Innovative Learning,Uganda,ST laurence school Sallins,Female,13,offline,48,3,Python,2,DESIGNING AND ANIMATION
1969,670,LEGO Robotics,Uganda,Diyafah International School Abu Dhabi,Female,8,offline,24,2,Technology Innovative Learning,4,DESIGNING AND ANIMATION
1970,671,Game Development,Turkey,American International School,Female,8,hybrid,48,3,3D Designing,4,ARTIFICIAL INTELLIGENCE
1971,671,Robotics,Turkey,Diyafah International School Abu Dhabi,Female,9,online,8,1,Robotics Innovative Learning,4,ARTIFICIAL INTELLIGENCE
1972,671,Python Programming,Saudi Arabia,Aws,Male,9,hybrid,8,1,AI,4,ARTIFICIAL INTELLIGENCE
1973,671,App Development,Saudi Arabia,Diyafah International School Abu Dhabi,Male,8,hybrid,24,2,Robotics Innovative Learning,3,ARTIFICIAL INTELLIGENCE
1974,671,Microsoft Arcade,Syria,The School of the Good Shepherd,Male,9,hybrid,48,3,Robotics Innovative Learning,5,ARTIFICIAL INTELLIGENCE
1975,672,Metaverse,Syria,Diyafah International School Abu Dhabi,Male,8,online,24,2,Python,5,ELECTRONICS
1976,672,Game and App Development,Syria,Manipal Academy of Higher Education,Male,10,hybrid,24,2,3D Designing,5,ELECTRONICS
1977,672,JAVA,Syria,Diyafah International School Abu Dhabi,Male,9,online,48,3,Python,5,ELECTRONICS
1978,672,3D Designing,Uruguay,Al Salam Private School,Male,9,hybrid,48,3,Coding for kids,4,ELECTRONICS
1979,673,3D Designing & Modelling,Uruguay,Diyafah International School Abu Dhabi,Male,7,online,24,2,Game Development,3,ROBOTICS
1980,674,Python Programming,Ireland,Sacred heart school,Male,7,hybrid,8,1,App Development,3,CODING
1981,674,LEGO Robotics,Ireland,Diyafah International School Abu Dhabi,Male,9,hybrid,24,2,Graphics Designing,3,CODING
1982,675,Scratch Coding,Kuwait,LLfp,Male,8,hybrid,24,2,App Development,5,STEM
1983,675,STEM Sr,Kuwait,Diyafah International School Abu Dhabi,Male,9,online,24,2,Coding for kids,4,STEM
1984,676,Programming & Coding - Python/JAVA/HTML/C/C++,Canada,British school of Bahrain,Male,10,hybrid,24,2,3D Designing,4,CODING
1985,676,Scratch Coding,Canada,Diyafah International School Abu Dhabi,Male,9,online,96,4,Robotics Innovative Learning,4,CODING
1986,676,Young Coder,Uganda,philippine School,Female,9,online,24,2,App Development,5,CODING
1987,676,Web Development,Uganda,Diyafah International School Abu Dhabi,Female,9,offline,48,3,Game Development,4,CODING
1988,676,Artificial Intelligence,Uganda,Petals school,Female,7,hybrid,96,4,App Development,5,CODING
1989,677,Artificial Intelligence & Machine Learning,Uganda,Diyafah International School Abu Dhabi,Female,8,hybrid,96,4,Game Development,4,ROBOTICS
1990,677,Game and App Development,Russia,GEMS Winchester School,Male,7,hybrid,24,2,AI,3,ROBOTICS
1991,677,Metaverse,Russia,Diyafah International School Abu Dhabi,Male,9,offline,24,2,Game Development,3,ROBOTICS
1992,677,Young Data Scientist,Srilanka,"Millennium School, Shj",Female,6,online,24,2,Coding for kids,2,ROBOTICS
1993,677,Arduino,Srilanka,Diyafah International School Abu Dhabi,Female,9,offline,48,3,App Development,2,ROBOTICS
1994,678,Space STEM,Iran,MSB Private School,Female,7,hybrid,24,2,Graphics Designing,3,ROBOTICS
1995,678,Artificial Intelligence for Non Programmers,Iran,Diyafah International School Abu Dhabi,Female,9,offline,96,4,Game Development,4,ROBOTICS
1996,678,Tech Innovator,Turkey,Cambridge International School,Male,9,offline,48,3,Graphics Designing,5,ROBOTICS
1997,678,Scratch Coding,Turkey,Diyafah International School Abu Dhabi,Male,10,hybrid,24,2,Coding for kids,3,ROBOTICS
1998,679,Young Honcho,Uruguay,IIS,Male,10,offline,48,3,Graphics Designing,5,UNIQUE COURSES
1999,679,Artificial Intelligence & Machine Learning,Uruguay,Diyafah International School Abu Dhabi,Male,8,online,96,4,App Development,4,UNIQUE COURSES
2000,679,LEGO Robotics,United Arab Emirates,Arcadia School,Male,10,online,8,1,Robotics Innovative Learning,3,UNIQUE COURSES
2001,679,Data Analysis with PythonData Science,United Arab Emirates,Diyafah International School Abu Dhabi,Male,9,online,24,2,AI,4,UNIQUE COURSES
2002,680,Electronics for Kids,Venezuela,GEMS,Female,12,online,24,2,App Development,3,ARTIFICIAL INTELLIGENCE
2003,680,Design Thinking and Entrepreneur Program,Venezuela,Diyafah International School Abu Dhabi,Female,9,offline,48,3,Technology Innovative Learning,4,ARTIFICIAL INTELLIGENCE
2004,681,Web Development,United States,JPS Sharjah,Male,12,online,24,2,App Development,2,CODING
2005,681,Data Analysis with PythonData Science,United States,Diyafah International School Abu Dhabi,Male,9,hybrid,24,2,App Development,3,CODING
2006,681,Metaverse,Pakistan,Nadeen International school,Female,12,online,24,2,Robotics Innovative Learning,3,CODING
2007,681,Game Development,Pakistan,Diyafah International School Abu Dhabi,Female,10,hybrid,24,2,Python,4,CODING
2008,682,Virtual Robotics,USA,GEMS New Millennium School L.L.C,Male,10,hybrid,48,3,Graphics Designing,3,UNIQUE COURSES
2009,682,Artificial Intelligence,USA,Diyafah International School Abu Dhabi,Male,9,hybrid,48,3,Python,3,UNIQUE COURSES
2010,682,Arduino,Canada,JSS PRIVATE SCHOOL LLC,Female,12,online,48,3,Technology Innovative Learning,4,UNIQUE COURSES
2011,683,Scratch Coding,Canada,Diyafah International School Abu Dhabi,Female,10,hybrid,8,1,App Development,4,ARTIFICIAL INTELLIGENCE
2012,683,3D Designing and PrintingApp Design and Development,Pakistan,Scholars International Academy,Female,12,hybrid,24,2,Game Development,3,ARTIFICIAL INTELLIGENCE
2013,684,Drone Technology & Aerodynamics,Pakistan,Diyafah International School Abu Dhabi,Female,9,hybrid,48,3,3D Designing,4,ELECTRONICS
2014,684,Artificial Intelligence & Machine Learning,Venezuela,The Indian High School,Male,12,offline,8,1,Robotics Innovative Learning,3,ELECTRONICS
2015,684,Young Data Scientist,Venezuela,Diyafah International School Abu Dhabi,Male,10,offline,48,3,AI,2,ELECTRONICS
2016,684,Drone Technology,Poland,Indian High School,Male,8,online,24,2,Graphics Designing,3,ELECTRONICS
2017,685,Metaverse,Poland,Diyafah International School Abu Dhabi,Male,9,offline,8,1,Technology Innovative Learning,4,STEM
2018,685,Drone Technology,Bahrain,Al Rowad international,Female,9,hybrid,24,2,AI,4,STEM
2019,685,STEM Sr,Bahrain,Diyafah International School Abu Dhabi,Female,9,hybrid,48,3,Robotics Innovative Learning,4,STEM
2020,685,Young Honcho,Russia,"GEMS Cambridge School, Sharjah",Male,9,hybrid,8,1,App Development,3,STEM
2021,686,Metaverse,Russia,Diyafah International School Abu Dhabi,Male,10,hybrid,96,4,Game Development,4,GAME DEVELOPMENT
2022,686,Young Coder,Switzerland,AUH,Female,9,online,24,2,AI,4,GAME DEVELOPMENT
2023,686,Data Analysis with PythonData Science,Switzerland,Diyafah International School Abu Dhabi,Female,8,offline,48,3,Technology Innovative Learning,4,GAME DEVELOPMENT
2024,687,Young Honcho,United Kingdom,Arcadia High School,Female,10,online,96,4,Technology Innovative Learning,5,UNIQUE COURSES
2025,687,Robotics,United Kingdom,Diyafah International School Abu Dhabi,Female,8,online,24,2,Graphics Designing,5,UNIQUE COURSES
2026,688,Metaverse,Qatar,The Alpha School LLC,Female,12,offline,24,2,Technology Innovative Learning,4,CODING
2027,688,Young Data Scientist,Qatar,Diyafah International School Abu Dhabi,Female,8,offline,48,3,Game Development,3,CODING
2028,688,Game Development with Unity,Taiwan,Raffles International School -Um Suqeim South BR,Female,12,hybrid,24,2,AI,5,CODING
2029,688,Coding For KidsCoding for kids,Taiwan,Diyafah International School Abu Dhabi,Female,8,online,96,4,Technology Innovative Learning,2,CODING
2030,688,Young Web Developer,Bahrain,Arcadia School,Female,10,online,48,3,Game Development,3,CODING
2031,689,Robotics,Bahrain,Diyafah International School Abu Dhabi,Female,9,hybrid,48,3,Game Development,4,ELECTRONICS
2032,689,Young Game Developer,Uganda,Arcadia School,Male,10,offline,24,2,AI,4,ELECTRONICS
2033,689,Technology Innovative Learning,Uganda,Diyafah International School Abu Dhabi,Male,9,offline,48,3,App Development,5,ELECTRONICS
2034,690,Young App Developer,Uruguay,Hartland International School,Male,10,hybrid,24,2,Coding for kids,4,DESIGNING AND ANIMATION
2035,690,App Development,Uruguay,Diyafah International School Abu Dhabi,Male,8,hybrid,48,3,3D Designing,3,DESIGNING AND ANIMATION
2036,691,VEX Robotics,United States,GEMS Modern Academy,Male,10,offline,96,4,3D Designing,5,CODING
2037,691,Young Web Developer,United States,Diyafah International School Abu Dhabi,Male,8,offline,96,4,3D Designing,4,CODING
2038,691,Python Programming,Ireland,Mayoor Private school  abudhabi,Male,10,hybrid,48,3,App Development,4,CODING
2039,692,STEM Jr,Ireland,Diyafah International School Abu Dhabi,Male,9,hybrid,96,4,Technology Innovative Learning,4,UNIQUE COURSES
2040,693,Microsoft Arcade,USA,GEMS Our Own English High School,Female,12,hybrid,24,2,Robotics Innovative Learning,4,DESIGNING AND ANIMATION
2041,694,Public Speaking & Entrepreneurship,USA,Diyafah International School Abu Dhabi,Female,9,hybrid,48,3,Python,2,STEM
2042,694,Game Development with Unity,Syria,Arcadia School,Male,12,offline,48,3,Technology Innovative Learning,4,STEM
2043,694,Scratch Coding,Syria,Diyafah International School Abu Dhabi,Male,8,hybrid,96,4,Technology Innovative Learning,4,STEM
2044,695,Young Honcho,United Arab Emirates,The Kindergarten Starters,Male,12,offline,8,1,Robotics Innovative Learning,4,CODING
2045,696,App Development,United Arab Emirates,Diyafah International School Abu Dhabi,Male,9,hybrid,48,3,Technology Innovative Learning,5,UNIQUE COURSES
2046,697,Game and App Development,Egypt,GEMS Founders School,Female,10,hybrid,24,2,AI,2,ROBOTICS
2047,697,Drone Technology & Aerodynamics,Egypt,Diyafah International School Abu Dhabi,Female,8,online,48,3,Python,3,ROBOTICS
2048,697,Scratch Coding,Nigeria,Ambassador School L.L.C,Male,9,hybrid,48,3,Technology Innovative Learning,2,ROBOTICS
2049,697,Virtual Robotics,Nigeria,Diyafah International School Abu Dhabi,Male,9,hybrid,24,2,Graphics Designing,4,ROBOTICS
2050,698,3D Designing,Korea,The International School of Choueifat,Female,10,hybrid,48,3,App Development,4,ARTIFICIAL INTELLIGENCE
2051,699,Game Development with Unity,Korea,Diyafah International School Abu Dhabi,Female,9,offline,48,3,Technology Innovative Learning,3,DESIGNING AND ANIMATION
2052,699,C++ Programming,Kuwait,Mayoor Pvt School,Female,15,offline,8,1,Graphics Designing,4,DESIGNING AND ANIMATION
2053,699,VEX Robotics,Kuwait,Diyafah International School Abu Dhabi,Female,9,offline,48,3,Robotics Innovative Learning,2,DESIGNING AND ANIMATION
2054,699,Space STEM,Bosnia and Herzegovina,AlRaja School,Female,10,hybrid,48,3,Coding for kids,5,DESIGNING AND ANIMATION
2055,700,VEX Robotics,Bosnia and Herzegovina,Diyafah International School Abu Dhabi,Female,9,hybrid,24,2,Technology Innovative Learning,5,STEM
2056,700,Artificial Intelligence,Egypt,Al Ansar International School,Male,8,hybrid,24,2,Technology Innovative Learning,4,STEM
2057,700,Young Designer,Egypt,Diyafah International School Abu Dhabi,Male,9,hybrid,96,4,Technology Innovative Learning,5,STEM
2058,701,Young Product Designer,Uganda,Swami Vivekanand International School,Female,12,hybrid,8,1,Python,2,STEM
2059,702,Virtual Robotics,Uganda,Diyafah International School Abu Dhabi,Female,9,online,48,3,Coding for kids,4,CODING
2060,702,Electronics for Kids,Canada,Al majd international school,Male,12,hybrid,48,3,Game Development,2,CODING
2061,702,Artificial Intelligence & Machine Learning,Canada,Diyafah International School Abu Dhabi,Male,9,hybrid,24,2,Python,3,CODING
2062,702,Young Coder,Syria,GEMS Royal Dubai School,Female,12,offline,48,3,Python,2,CODING
2063,703,Game Development,Syria,Diyafah International School Abu Dhabi,Female,9,online,48,3,Game Development,4,ARTIFICIAL INTELLIGENCE
2064,704,STEM Sr,Russia,JSS International School LLC,Female,12,hybrid,48,3,AI,3,ARTIFICIAL INTELLIGENCE
2065,704,Artificial Intelligence of Things (AIoT)Augmented & Virtual Reality,Russia,Diyafah International School Abu Dhabi,Female,9,offline,48,3,App Development,5,ARTIFICIAL INTELLIGENCE
2066,705,Young Product Designer,Afghanistan,The Philippine School,Male,12,hybrid,24,2,Technology Innovative Learning,5,ROBOTICS
2067,706,Data Analysis with PythonData Science,Afghanistan,Diyafah International School Abu Dhabi,Male,9,hybrid,48,3,App Development,4,ELECTRONICS
2068,706,Young Data Scientist,Syria,MSB Private School,Male,12,offline,24,2,Technology Innovative Learning,3,ELECTRONICS
2069,706,Public Speaking & Entrepreneurship,Syria,Diyafah International School Abu Dhabi,Male,9,online,48,3,App Development,4,ELECTRONICS
2070,706,Drone Technology,Armenia,United International Private School,Female,12,hybrid,24,2,Robotics Innovative Learning,2,ELECTRONICS
2071,707,Game Development - Block-Based,Armenia,Diyafah International School Abu Dhabi,Female,9,hybrid,8,1,Robotics Innovative Learning,4,STEM
2072,708,STEM Jr,United States,GEMS Millenium School,Male,12,offline,48,3,Python,4,ARTIFICIAL INTELLIGENCE
2073,709,Young Designer,United States,Diyafah International School Abu Dhabi,Male,9,hybrid,48,3,Coding for kids,3,ARTIFICIAL INTELLIGENCE
