Student Name,Student_ID,Previous Course selected,Course Selected,Nationality,School,Demographic Data,Age,Modes of Learning,Session,Field of Interest,Difficulty Level,Course Recommended,Course Rating
student 1826,42355,Young App Developer,Data Analysis with Python,Kuwait,Al Diyafah High School,Male,8.0,offline,96,Mathematics,4,3D Designing,4
student 1827,12397,Graphic Designing,Web Development,India,Al Diyafah High School,Male,8.0,hybrid,24,Mathematics,2,Python,2
student 1828,85169,Game Development with Unity,3D Designing,Cameroon,Al Diyafah High School,Male,8.0,hybrid,96,Music,4,Coding for kids,5
student 1829,31593,Virtual Robotics,HTML Programming,China,Al Diyafah High School,Female,8.0,hybrid,24,Music,2,Python,5
student 1830,68129,Virtual Robotics,Artificial Intelligence,IndiaSpain,Al Diyafah High School,Female,8.0,online,48,Science,3,App Development,2
student 1831,91668,Young Innovator,JAVA,Uganda,Al Diyafah High School,Female,9.0,offline,48,Art,3,Technology Innovative Learning,5
student 1832,69568,App Development,3D Designing & Modelling,Kuwait,Al Diyafah High School,Male,8.0,hybrid,48,Technology,3,3D Designing,4
student 1833,75621,Public Speaking & Entrepreneurship,Scratch Coding,Cuba,Al Diyafah High School,Male,8.0,hybrid,8,Science,1,App Development,2
student 1834,48551,Young Designer,Game Development - Microsoft Arcade,Korea,Al Diyafah High School,Female,8.0,online,24,Art,2,Game Development,5
student 1835,28374,Python Programming,Python Programming,Canada,Al Diyafah High School,Male,8.0,hybrid,24,Art,2,Game Development,5
student 1836,86494,Augmented & Virtual Reality,Virtual Robotics & Mechatronics,United Kingdom,Al Diyafah High School,Female,8.0,offline,24,Art,2,Graphics Designing,3
student 1837,72713,Young App Developer,Young Data Scientist,New Zealand,Al Diyafah High School,Female,8.0,online,24,Sports,2,Technology Innovative Learning,5
student 1838,53234,Data Analysis with Python,Web Development,Iran (Islamic Republic of),Al Diyafah High School,Male,8.0,offline,96,Music,4,Game Development,4
student 1839,66334,Design Thinking and Entrepreneur Program,Young Web Developer,IndiaSpain,Al Diyafah High School,Male,8.0,hybrid,8,Sports,1,AI,3
student 1840,57084,Young Innovator,Young Data Scientist,Palestine,Al Diyafah High School,Male,8.0,online,24,Science,2,3D Designing,4
student 1841,98969,Game and App Development,Graphic Designing,Taiwan,Al Diyafah High School,Male,8.0,online,48,Science,3,App Development,2
student 1842,93700,Artificial Intelligence of Things (AIoT),Game Development - Microsoft Arcade,Cameroon,Al Diyafah High School,Female,8.0,hybrid,8,Mathematics,1,Python,4
student 1843,84267,STEM Sr,Metaverse,Palestine,Al Diyafah High School,Female,8.0,hybrid,24,Art,2,AI,4
student 1844,65161,Graphic Designing,Web Development,Saudi Arabia,Al Diyafah High School,Male,8.0,hybrid,24,Mathematics,2,AI,4
student 1845,27500,Scratch Coding,Young Honcho,Pakistan,Al Diyafah High School,Male,8.0,online,48,Sports,3,Game Development,2
student 1846,59488,Young Innovator,Young Designer,United States,Al Diyafah High School,Female,8.0,offline,24,Sports,2,Coding for kids,4
student 1847,97792,Artificial Intelligence & Machine Learning,Virtual Robotics & Mechatronics,Taiwan,Al Diyafah High School,Male,8.0,online,96,Technology,4,Technology Innovative Learning,3
student 1848,70077,Young Game Developer,Artificial Intelligence,Pakistan,Al Diyafah High School,Male,8.0,online,24,Mathematics,2,Robotics Innovative Learning,5
student 1849,84579,Young Entrepreneur,JAVA,USA,Al Diyafah High School,Female,8.0,hybrid,24,Mathematics,2,App Development,3
student 1850,60468,Game Development,Graphic Designing,Ukraine,Al Diyafah High School,Female,8.0,offline,24,Sports,2,Graphics Designing,4
student 1851,62844,Game Development,VEX Robotics,Saudi Arabia,Al Diyafah High School,Female,8.0,hybrid,24,Sports,2,App Development,2
student 1852,28009,C Programming,Public Speaking & Entrepreneurship,Malaysia,Al Diyafah High School,Female,8.0,online,8,Technology,1,3D Designing,5
student 1853,41066,Internet of Things,C Programming,Egypt,Al Diyafah High School,Female,8.0,online,48,Sports,3,Graphics Designing,2
student 1854,31469,STEM Jr,App Development,India,Al Diyafah High School,Female,8.0,online,24,Science,2,Robotics Innovative Learning,2
student 1855,38487,Web Development,Robotics,Korea,Al Diyafah High School,Female,8.0,hybrid,48,Art,3,3D Designing,5
student 1856,11817,Artificial Intelligence for Non Programmers,Robotics,Ireland,Al Diyafah High School,Female,8.0,offline,48,Mathematics,3,App Development,2
student 1857,14862,Young Innovator,C Programming,Canada,Al Diyafah High School,Male,8.0,hybrid,24,Mathematics,2,App Development,4
student 1858,90840,Game Development - Microsoft Arcade,HTML Programming,Taiwan,Al Diyafah High School,Male,8.0,offline,48,Mathematics,3,Graphics Designing,2
student 1859,38209,Public Speaking & Entrepreneurship,Robotics,Bosnia and Herzegovina,Al Diyafah High School,Male,8.0,hybrid,48,Mathematics,3,App Development,5
student 1860,47087,Artificial Intelligence,Young Data Scientist,India,Al Diyafah High School,Female,8.0,hybrid,96,Technology,4,Game Development,4
student 1861,49950,3D Designing,3D Designing and Printing,Kuwait,Al Diyafah High School,Male,13.0,hybrid,24,Technology,2,3D Designing,5
student 1862,24619,HTML Programming,VEX Robotics,Cuba,Al Diyafah High School,Male,8.0,offline,24,Science,2,Technology Innovative Learning,5
student 1863,43442,Drone Technology,Space STEM,Srilanka,Al Diyafah High School,Male,8.0,hybrid,24,Science,2,Technology Innovative Learning,5
student 1864,57122,Young Entrepreneur,Artificial Intelligence for Non Programmers,Uganda,Al Diyafah High School,Female,8.0,online,8,Technology,1,Game Development,4
student 1865,74102,Design Thinking and Entrepreneur Program,Young Designer,China,Al Diyafah High School,Female,8.0,hybrid,48,Science,3,3D Designing,4
student 1866,50085,Data Science,Metaverse,Palestine,Al Diyafah High School,Female,8.0,hybrid,8,Science,1,3D Designing,3
student 1867,19418,JAVA,Young Entrepreneur,Uruguay,Al Diyafah High School,Female,8.0,online,24,Science,2,Graphics Designing,2
student 1868,22447,LEGO Robotics,Artificial Intelligence of Things (AIoT),Kuwait,Al Diyafah High School,Male,8.0,offline,24,Mathematics,2,Graphics Designing,4
student 1869,64536,Young Product Designer,Augmented & Virtual Reality,Srilanka,Al Diyafah High School,Male,8.0,offline,48,Art,3,Python,2
student 1870,61975,Artificial Intelligence for Non Programmers,Young Data Scientist,IndiaSpain,Al Diyafah High School,Male,8.0,online,48,Technology,3,Robotics Innovative Learning,4
student 1871,33270,Virtual Robotics & Mechatronics,STEM Jr,Oman,Al Diyafah High School,Female,8.0,hybrid,48,Art,3,3D Designing,2
student 1872,87023,Game Development,Game Development - Microsoft Arcade,Pakistan,Al Diyafah High School,Male,8.0,online,48,Music,3,3D Designing,4
student 1873,80543,Artificial Intelligence & Machine Learning,Young Honcho,Qatar,Al Diyafah High School,Female,8.0,hybrid,8,Technology,1,Robotics Innovative Learning,2
student 1874,44168,Artificial Intelligence & Machine Learning,Robotics,Srilanka,Al Diyafah High School,Male,8.0,offline,24,Technology,2,Graphics Designing,3
student 1875,19537,Game and App Development,JAVA,Canada,Al Diyafah High School,Female,8.0,offline,48,Art,3,Technology Innovative Learning,3
student 1876,13189,Young Designer,HTML Programming,Cook Islands,Al Diyafah High School,Male,8.0,online,8,Technology,1,Robotics Innovative Learning,3
student 1877,58926,3D Designing,Virtual Robotics & Mechatronics,USA,Al Diyafah High School,Female,8.0,online,24,Science,2,Robotics Innovative Learning,4
student 1878,52246,Young Designer,Robotics,Jordan,Al Diyafah High School,Male,8.0,offline,48,Music,3,App Development,3
student 1879,93261,French Language Course,Python Programming,Cook Islands,Al Diyafah High School,Female,8.0,offline,48,Mathematics,3,Coding for kids,5
student 1880,13623,Drone Technology,C Programming,Russia,Al Diyafah High School,Male,8.0,online,24,Sports,2,AI,4
student 1881,26360,Augmented & Virtual Reality,LEGO Robotics,Switzerland,Al Diyafah High School,Female,8.0,online,48,Sports,3,Game Development,4
student 1882,84909,Young Innovator,JAVA,Iran (Islamic Republic of),Al Diyafah High School,Female,8.0,offline,24,Sports,2,AI,3
student 1883,18630,STEM Jr,Technology Innovative Learning,KSA,Al Diyafah High School,Male,8.0,offline,24,Sports,2,Robotics Innovative Learning,4
student 1884,85823,C++ Programming,HTML Programming,Oman,Al Diyafah High School,Male,8.0,online,24,Sports,2,Graphics Designing,5
student 1885,80285,Technology Innovative Learning,Python Programming,IndiaSpain,Al Diyafah High School,Male,8.0,hybrid,8,Sports,1,3D Designing,3
student 1886,48952,App Development,JAVA,KSA,Al Diyafah High School,Female,8.0,hybrid,24,Science,2,Graphics Designing,5
student 1887,27676,Artificial Intelligence,Design Thinking and Entrepreneur Program,Pakistan,Al Diyafah High School,Female,8.0,offline,24,Sports,2,Coding for kids,3
student 1888,13750,Young Designer,Python Programming,Bahrain,Al Diyafah High School,Male,8.0,offline,24,Mathematics,2,Technology Innovative Learning,5
student 1889,45814,3D Designing and Printing,Web Development,Taiwan,Al Diyafah High School,Male,8.0,offline,24,Music,2,Robotics Innovative Learning,3
student 1890,93903,Web Development,Drone Technology,Bosnia and Herzegovina,Al Diyafah High School,Male,8.0,online,24,Science,2,Graphics Designing,2
student 1891,42006,VEX Robotics,Graphic Designing,Canada,Al Diyafah High School,Male,8.0,hybrid,48,Science,3,App Development,3
student 1892,85494,French Language Course,Robotics,Taiwan,Al Diyafah High School,Female,8.0,offline,24,Sports,2,Robotics Innovative Learning,5
student 1893,21951,App Design and Development,Virtual Robotics & Mechatronics,Malaysia,Al Diyafah High School,Female,8.0,offline,96,Technology,4,Python,2
student 1894,33372,Virtual Robotics & Mechatronics,Graphic Designing,Nigeria,Al Diyafah High School,Female,8.0,offline,24,Technology,2,Coding for kids,4
student 1895,45187,Artificial Intelligence of Things (AIoT),Graphic Designing & Animation,Nigeria,Al Diyafah High School,Male,8.0,hybrid,48,Mathematics,3,AI,5
student 1896,45415,C++ Programming,Artificial Intelligence of Things (AIoT),Saudi Arabia,Al Diyafah High School,Female,9.0,hybrid,24,Sports,2,Game Development,4
student 1897,10373,Game Development - Microsoft Arcade,Virtual Robotics,Iran (Islamic Republic of),Al Diyafah High School,Male,8.0,hybrid,48,Sports,3,Game Development,4
student 1898,85212,3D Designing & Modelling,VEX Robotics,United Arab Emirates,Al Diyafah High School,Female,8.0,offline,96,Art,4,Robotics Innovative Learning,2
student 1899,16574,Young Data Scientist,Game Development,Saudi Arabia,Al Diyafah High School,Female,8.0,hybrid,48,Science,3,App Development,5
student 1900,95908,3D Designing,Arduino,Ukraine,Al Diyafah High School,Female,8.0,online,8,Mathematics,1,Technology Innovative Learning,2
student 1901,16320,3D Designing & Modelling,Young Innovator,Russia,Al Diyafah High School,Male,9.0,offline,24,Science,2,App Development,4
student 1902,57694,App Design and Development,Game Development with Unity,Afghanistan,Al Diyafah High School,Female,9.0,offline,24,Art,2,AI,2
student 1903,52468,Artificial Intelligence of Things (AIoT),Arduino,Canada,Al Diyafah High School,Male,8.0,offline,8,Sports,1,Graphics Designing,3
student 1904,92973,Drone Technology,Public Speaking & Entrepreneurship,Jordan,Al Diyafah High School,Female,8.0,hybrid,48,Technology,3,Python,4
student 1905,88909,Internet of Things,Design Thinking and Entrepreneur Program,Jordan,Al Diyafah High School,Female,9.0,offline,8,Sports,1,Graphics Designing,3
student 1906,91166,Drone Technology,Drone Technology,Jordan,Al Diyafah High School,Male,8.0,hybrid,8,Sports,1,Robotics Innovative Learning,5
student 1907,61359,3D Designing & Modelling,Graphic Designing,Pakistan,Al Diyafah High School,Female,8.0,offline,48,Technology,3,App Development,2
student 1908,48878,STEM Sr,Young Entrepreneur,India,Al Diyafah High School,Male,8.0,online,48,Art,3,AI,5
student 1909,18482,Data Science,Space STEM,Switzerland,Al Diyafah High School,Male,8.0,online,8,Mathematics,1,Technology Innovative Learning,4
student 1910,93780,Drone Technology,Game Development,Jordan,Al Diyafah High School,Male,8.0,online,8,Mathematics,1,Coding for kids,4
student 1911,28337,Young Innovator,STEM Jr,New Zealand,Al Diyafah High School,Male,10.0,hybrid,8,Mathematics,1,Python,2
student 1912,34429,Drone Technology & Aerodynamics,Space STEM,Malaysia,Al Diyafah High School,Female,8.0,online,24,Sports,2,Technology Innovative Learning,5
student 1913,19293,Internet of Things,Technology Innovative Learning,Afghanistan,Al Diyafah High School,Male,8.0,hybrid,24,Mathematics,2,Graphics Designing,2
student 1914,19243,Young Innovator,Metaverse,Armenia,Al Diyafah High School,Male,8.0,hybrid,96,Sports,4,Technology Innovative Learning,2
student 1915,59058,HTML Programming,Drone Technology & Aerodynamics,Iran (Islamic Republic of),Al Diyafah High School,Male,8.0,hybrid,96,Science,4,Graphics Designing,5
student 1916,29487,Young Entrepreneur,Game Development with Unity,Palestine,Al Diyafah High School,Male,8.0,hybrid,24,Science,2,3D Designing,3
student 1917,93903,HTML Programming,Graphic Designing,Egypt,Al Diyafah High School,Female,8.0,online,48,Science,3,Graphics Designing,2
student 1918,23050,Electronics Program,Python Programming,Canada,Al Diyafah High School,Male,9.0,hybrid,24,Mathematics,2,Game Development,3
student 1919,81161,Young Coder,Game and App Development,Cook Islands,Al Diyafah High School,Female,8.0,offline,8,Technology,1,3D Designing,5
student 1920,93873,Young Entrepreneur,STEM Jr,Turkey,Al Diyafah High School,Male,8.0,offline,96,Mathematics,4,Game Development,4
student 1921,72473,Young Coder,3D Designing & Modelling,Kuwait,Al Diyafah High School,Male,8.0,online,24,Mathematics,2,Coding for kids,5
student 1922,28426,French Language Course,Young Innovator,Jordan,Al Diyafah High School,Female,8.0,offline,96,Mathematics,4,Robotics Innovative Learning,5
student 1923,14934,JAVA,Augmented & Virtual Reality,India,Al Diyafah High School,Male,8.0,hybrid,24,Art,2,Graphics Designing,4
student 1924,46096,Design Thinking and Entrepreneur Program,French Language Course,Cameroon,Al Diyafah High School,Male,8.0,online,48,Art,3,Technology Innovative Learning,4
student 1925,39655,3D Designing & Modelling,Graphic Designing,Egypt,Al Diyafah High School,Female,8.0,offline,8,Science,1,Technology Innovative Learning,4
student 1926,63058,STEM Sr,Virtual Robotics & Mechatronics,Iraq,Al Diyafah High School,Male,9.0,online,96,Technology,4,AI,4
student 1927,64157,VEX Robotics,Young Designer,Armenia,Al Diyafah High School,Male,8.0,offline,24,Music,2,Graphics Designing,2
student 1928,58229,Space STEM,JAVA,Pakistan,Al Diyafah High School,Male,8.0,online,8,Sports,1,3D Designing,2
student 1929,86470,Data Analysis with Python,Virtual Robotics & Mechatronics,India,Al Diyafah High School,Female,8.0,hybrid,24,Mathematics,2,Graphics Designing,4
student 1930,54520,Artificial Intelligence of Things (AIoT),Data Science,Canada,Al Diyafah High School,Male,8.0,hybrid,48,Music,3,Graphics Designing,2
student 1931,46596,Young Game Developer,Graphic Designing,China,Al Diyafah High School,Male,8.0,online,48,Mathematics,3,AI,3
student 1932,82739,French Language Course,JAVA,IndiaSpain,Al Diyafah High School,Female,8.0,online,24,Mathematics,2,Robotics Innovative Learning,4
student 1933,83913,Artificial Intelligence & Machine Learning,Drone Technology & Aerodynamics,Palestine,Al Diyafah High School,Female,8.0,hybrid,24,Science,2,Technology Innovative Learning,4
student 1934,19469,Robotics,STEM Jr,Canada,Al Diyafah High School,Female,8.0,offline,48,Music,3,Technology Innovative Learning,4
student 1935,81279,Space STEM,JAVA,Oman,Al Diyafah High School,Male,8.0,offline,8,Sports,1,Robotics Innovative Learning,4
student 1936,28566,HTML Programming,Scratch Coding,Iran (Islamic Republic of),Al Diyafah High School,Male,8.0,online,24,Music,2,Coding for kids,4
student 1937,95589,3D Designing,Game Development with Unity,Uganda,Al Diyafah High School,Female,9.0,hybrid,24,Technology,2,App Development,5
student 1938,76025,Space STEM,Young Game Developer,New Zealand,Al Diyafah High School,Female,8.0,hybrid,8,Art,1,Graphics Designing,4
student 1939,85685,Drone Technology,Game and App Development,United Kingdom,Cambridge International School,Female,8.0,hybrid,48,Sports,3,3D Designing,4
student 1940,19999,Augmented & Virtual Reality,Robotics,Canada,Cambridge International School,Female,9.0,offline,48,Science,3,Technology Innovative Learning,2
student 1941,15025,3D Designing & Modelling,Robotics,Pakistan,Cambridge International School,Female,8.0,hybrid,24,Sports,2,AI,4
student 1942,14361,Internet of Things,Python Programming,Cook Islands,Cambridge International School,Female,9.0,offline,24,Science,2,App Development,4
student 1943,45103,Artificial Intelligence for Non Programmers,STEM Sr,United Arab Emirates,Cambridge International School,Female,8.0,online,24,Mathematics,2,Robotics Innovative Learning,2
student 1944,86255,Technology Innovative Learning,Game Development with Unity,Bosnia and Herzegovina,Cambridge International School,Male,9.0,online,96,Music,4,3D Designing,3
student 1945,68291,Drone Technology,Technology Innovative Learning,Poland,Cambridge International School,Male,9.0,online,8,Music,1,Technology Innovative Learning,3
student 1946,28602,Graphic Designing,Graphic Designing,Oman,Cambridge International School,Female,9.0,hybrid,8,Science,1,Graphics Designing,3
student 1947,94990,VEX Robotics,Virtual Robotics,United Kingdom,Diyafah International School Abu Dhabi,Male,8.0,hybrid,96,Sports,4,Technology Innovative Learning,5
student 1948,70314,STEM Sr,Young Data Scientist,India,Diyafah International School Abu Dhabi,Male,8.0,offline,48,Science,3,Graphics Designing,4
student 1949,52592,Artificial Intelligence,Robotics,Qatar,Diyafah International School Abu Dhabi,Male,8.0,online,96,Mathematics,4,Coding for kids,3
student 1950,34354,Young Product Designer,VEX Robotics,Canada,Cambridge International School,Male,8.0,hybrid,48,Mathematics,3,Graphics Designing,2
student 1951,60479,Data Science,Graphic Designing,Turkey,Diyafah International School Abu Dhabi,Female,9.0,offline,48,Technology,3,Game Development,5
student 1952,93565,Artificial Intelligence & Machine Learning,JAVA,KSA,Cambridge International School,Female,9.0,hybrid,24,Science,2,AI,4
student 1953,70114,French Language Course,Young Web Developer,Poland,Cambridge International School,Male,9.0,offline,96,Sports,4,App Development,4
student 1954,92770,LEGO Robotics,Graphic Designing,Pakistan,Al Diyafah High School,Female,9.0,online,48,Sports,3,3D Designing,3
student 1955,52167,Game Development with Unity,Artificial Intelligence & Machine Learning,Uganda,Al Diyafah High School,Male,9.0,online,24,Art,2,Graphics Designing,5
student 1956,47918,App Development,Data Analysis with Python,Taiwan,Al Diyafah High School,Male,8.0,hybrid,48,Science,3,Robotics Innovative Learning,4
student 1957,73495,LEGO Robotics,Artificial Intelligence & Machine Learning,Ireland,Diyafah International School Abu Dhabi,Male,9.0,online,24,Sports,2,Game Development,4
student 1958,22950,Metaverse,3D Designing and Printing,Srilanka,Cambridge International School,Female,9.0,online,48,Art,3,Game Development,4
student 1959,70593,C Programming,App Development,Canada,Cambridge International School,Male,8.0,offline,48,Science,3,Robotics Innovative Learning,4
student 1960,46159,App Design and Development,Scratch Coding,Ukraine,Cambridge International School,Male,9.0,offline,8,Mathematics,1,Game Development,4
student 1961,97946,Design Thinking and Entrepreneur Program,Artificial Intelligence for Non Programmers,China,Diyafah International School Abu Dhabi,Female,8.0,online,48,Technology,3,Python,5
student 1962,20094,Graphic Designing & Animation,Graphic Designing,Singapore,Cambridge International School,Female,10.0,hybrid,24,Art,2,3D Designing,5
student 1963,28582,3D Designing & Modelling,JAVA,Egypt,Al Diyafah High School,Male,8.0,online,24,Art,2,3D Designing,2
student 1964,52637,3D Designing & Modelling,Young Innovator,United States,Cambridge International School,Male,9.0,hybrid,48,Mathematics,3,Graphics Designing,3
student 1965,36255,Web Development,Drone Technology & Aerodynamics,Iran (Islamic Republic of),Diyafah International School Abu Dhabi,Male,9.0,hybrid,48,Science,3,Graphics Designing,4
student 1966,65062,Drone Technology & Aerodynamics,Electronics Program,Cuba,Diyafah International School Abu Dhabi,Female,9.0,offline,48,Science,3,App Development,4
student 1967,48272,3D Designing and Printing,Game and App Development,Ireland,Cambridge International School,Male,8.0,hybrid,24,Sports,2,Python,4
student 1968,79537,STEM Sr,Game Development with Unity,UAE,Cambridge International School,Female,9.0,online,48,Music,3,Python,4
student 1969,90543,C Programming,Virtual Robotics & Mechatronics,Taiwan,Cambridge International School,Female,8.0,offline,48,Art,3,Robotics Innovative Learning,4
student 1970,16678,Scratch Coding,Scratch Coding,Qatar,Diyafah International School Abu Dhabi,Female,10.0,online,96,Art,4,Python,4
student 1971,70960,Augmented & Virtual Reality,Data Analysis with Python,Egypt,Cambridge International School,Female,8.0,hybrid,8,Technology,1,Python,4
student 1972,78275,Young Innovator,Robotics,Korea,Cambridge International School,Female,10.0,offline,48,Technology,3,Coding for kids,4
student 1973,42304,LEGO Robotics,3D Designing & Modelling,Pakistan,Cambridge International School,Female,8.0,hybrid,24,Mathematics,2,3D Designing,2
student 1974,27530,HTML Programming,Web Development,Bosnia and Herzegovina,Cambridge International School,Male,8.0,offline,24,Mathematics,2,Technology Innovative Learning,2
student 1975,96197,3D Designing & Modelling,Virtual Robotics & Mechatronics,New Zealand,Cambridge International School,Female,8.0,hybrid,48,Technology,3,Graphics Designing,3
student 1976,96333,Game and App Development,Virtual Robotics & Mechatronics,Pakistan,Cambridge International School,Female,8.0,online,48,Art,3,3D Designing,4
student 1977,68997,App Design and Development,Game Development - Microsoft Arcade,Srilanka,Diyafah International School Abu Dhabi,Female,8.0,online,8,Mathematics,1,Robotics Innovative Learning,2
student 1978,56620,3D Designing,Drone Technology & Aerodynamics,Venezuela,Diyafah International School Abu Dhabi,Female,9.0,online,48,Music,3,Robotics Innovative Learning,3
student 1979,54298,Drone Technology,Artificial Intelligence,India,Cambridge International School,Male,9.0,hybrid,8,Sports,1,AI,2
student 1980,64398,Artificial Intelligence & Machine Learning,Technology Innovative Learning,Bahrain,Diyafah International School Abu Dhabi,Female,9.0,hybrid,48,Music,3,Coding for kids,4
student 1981,39489,JAVA,Game Development,USA,Diyafah International School Abu Dhabi,Female,8.0,offline,48,Mathematics,3,Coding for kids,3
student 1982,26229,Young Designer,Young Data Scientist,Korea,Cambridge International School,Male,8.0,offline,96,Music,4,AI,4
student 1983,99758,Young Innovator,Young Designer,Qatar,Cambridge International School,Female,8.0,online,48,Technology,3,3D Designing,3
student 1984,88599,Young Game Developer,Python Programming,Singapore,Diyafah International School Abu Dhabi,Male,8.0,online,24,Science,2,3D Designing,2
student 1985,83971,Artificial Intelligence for Non Programmers,Young Innovator,Kuwait,Cambridge International School,Female,9.0,hybrid,48,Mathematics,3,Python,4
student 1986,88734,Young Data Scientist,Young Innovator,Iraq,Diyafah International School Abu Dhabi,Male,9.0,offline,48,Sports,3,Game Development,4
student 1987,78205,Virtual Robotics,Space STEM,Venezuela,Diyafah International School Abu Dhabi,Male,8.0,offline,24,Sports,2,App Development,2
student 1988,21161,Technology Innovative Learning,VEX Robotics,China,Cambridge International School,Male,8.0,online,96,Sports,4,AI,4
student 1989,47050,Web Development,Data Science,Afghanistan,Cambridge International School,Female,8.0,online,24,Art,2,Game Development,4
student 1990,60192,Public Speaking & Entrepreneurship,Young Designer,USA,Diyafah International School Abu Dhabi,Female,8.0,offline,96,Art,4,Game Development,4
student 1991,44630,Public Speaking & Entrepreneurship,Technology Innovative Learning,Iran (Islamic Republic of),Cambridge International School,Female,10.0,offline,96,Technology,4,Python,5
student 1992,96932,Young Honcho,Data Science,Uruguay,Cambridge International School,Male,8.0,hybrid,48,Mathematics,3,App Development,4
student 1993,19525,Artificial Intelligence for Non Programmers,Young App Developer,Nigeria,Cambridge International School,Male,8.0,hybrid,8,Sports,1,Coding for kids,5
student 1994,37934,3D Designing,Young Innovator,Poland,Cambridge International School,Male,9.0,offline,24,Art,2,Graphics Designing,4
student 1995,96031,Young Honcho,Artificial Intelligence,Palestine,Cambridge International School,Female,10.0,hybrid,24,Music,2,App Development,4
student 1996,62150,Public Speaking & Entrepreneurship,Python Programming,Uruguay,Cambridge International School,Female,9.0,online,8,Science,1,Robotics Innovative Learning,3
student 1997,41785,Artificial Intelligence of Things (AIoT),3D Designing,India,Cambridge International School,Male,9.0,offline,8,Science,1,AI,2
student 1998,87005,Python Programming,Young App Developer,New Zealand,Cambridge International School,Male,8.0,online,48,Mathematics,3,App Development,3
student 1999,95368,Game Development - Microsoft Arcade,Arduino,Korea,Cambridge International School,Male,8.0,online,48,Technology,3,Coding for kids,3
student 2000,72465,Arduino,Artificial Intelligence,Cook Islands,Cambridge International School,Female,10.0,hybrid,48,Mathematics,3,AI,2
student 2001,33091,Young Designer,Graphic Designing & Animation,Ukraine,Diyafah International School Abu Dhabi,Female,10.0,online,48,Science,3,Game Development,4
student 2002,61048,Augmented & Virtual Reality,Young Game Developer,Ireland,Diyafah International School Abu Dhabi,Female,8.0,offline,8,Music,1,AI,3
student 2003,90005,Game Development - Microsoft Arcade,HTML Programming,United Kingdom,Cambridge International School,Male,9.0,hybrid,24,Art,2,Coding for kids,4
student 2004,74641,Young Game Developer,Metaverse,IndiaSpain,Diyafah International School Abu Dhabi,Male,8.0,hybrid,48,Music,3,Coding for kids,5
student 2005,75006,Electronics Program,HTML Programming,United Kingdom,Diyafah International School Abu Dhabi,Male,9.0,online,48,Technology,3,3D Designing,3
student 2006,69955,Electronics Program,Robotics,Venezuela,Cambridge International School,Female,10.0,online,24,Technology,2,3D Designing,3
student 2007,24906,Artificial Intelligence for Non Programmers,Technology Innovative Learning,China,Diyafah International School Abu Dhabi,Male,8.0,online,24,Mathematics,2,Python,3
student 2008,75042,Young Web Developer,Game Development - Microsoft Arcade,Oman,Diyafah International School Abu Dhabi,Female,8.0,offline,48,Mathematics,3,3D Designing,5
student 2009,44801,Young Web Developer,Data Science,Iran (Islamic Republic of),Diyafah International School Abu Dhabi,Female,9.0,offline,24,Art,2,Graphics Designing,2
student 2010,98091,Web Development,Game Development with Unity,India,Diyafah International School Abu Dhabi,Male,9.0,offline,24,Art,2,3D Designing,4
student 2011,52460,C Programming,Robotics,Ireland,Diyafah International School Abu Dhabi,Male,8.0,online,48,Art,3,Python,4
student 2012,48039,Artificial Intelligence & Machine Learning,Young Web Developer,Pakistan,Diyafah International School Abu Dhabi,Male,9.0,offline,48,Technology,3,App Development,2
student 2013,53488,Graphic Designing,Young Product Designer,Iran (Islamic Republic of),Diyafah International School Abu Dhabi,Female,9.0,online,48,Sports,3,Technology Innovative Learning,4
student 2014,89285,Public Speaking & Entrepreneurship,Young App Developer,Cuba,Diyafah International School Abu Dhabi,Female,8.0,online,24,Sports,2,AI,5
student 2015,44510,Arduino,App Development,Armenia,Diyafah International School Abu Dhabi,Male,8.0,offline,96,Mathematics,4,AI,3
student 2016,40362,Drone Technology & Aerodynamics,Scratch Coding,India,Al Diyafah High School,Female,8.0,hybrid,48,Science,3,3D Designing,5
student 2017,11832,Artificial Intelligence,Young Game Developer,Nigeria,Diyafah International School Abu Dhabi,Female,8.0,hybrid,48,Technology,3,3D Designing,5
student 2018,74116,Young Web Developer,Artificial Intelligence for Non Programmers,Pakistan,Diyafah International School Abu Dhabi,Female,8.0,online,24,Science,2,Coding for kids,4
student 2019,10659,Python Programming,STEM Jr,Bahrain,Diyafah International School Abu Dhabi,Male,10.0,hybrid,48,Mathematics,3,Python,2
student 2020,25038,Game Development,Virtual Robotics,Syria,Diyafah International School Abu Dhabi,Female,8.0,hybrid,48,Science,3,Coding for kids,4
student 2021,95072,Young Web Developer,Game Development with Unity,Jordan,Diyafah International School Abu Dhabi,Male,9.0,offline,48,Sports,3,App Development,2
student 2022,10575,C Programming,Robotics,KSA,Diyafah International School Abu Dhabi,Female,8.0,hybrid,48,Technology,3,AI,4
student 2023,79248,Young Product Designer,App Development,Singapore,Diyafah International School Abu Dhabi,Female,9.0,offline,24,Music,2,App Development,4
student 2024,84186,Data Analysis with Python,Young Web Developer,Canada,Diyafah International School Abu Dhabi,Female,9.0,offline,48,Music,3,Coding for kids,4
student 2025,69535,App Design and Development,Young Innovator,Oman,Diyafah International School Abu Dhabi,Female,9.0,hybrid,24,Art,2,Game Development,3
student 2026,13120,Graphic Designing,Game Development,United Kingdom,Diyafah International School Abu Dhabi,Female,8.0,online,8,Art,1,Game Development,4
